ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-08-02,65.79753833576251,68.7208211944809,70.98105076911239,65.79753833576251,65.79753833576251,4.057604520286322,4.057604520286322,4.057604520286322,-0.04603593919981595,-0.04603593919981595,-0.04603593919981595,4.103640459486138,4.103640459486138,4.103640459486138,0.0,0.0,0.0,69.85514285604883
2019-08-03,65.80150059216469,68.84368022324847,71.08410801924886,65.80150059216469,65.80150059216469,4.116894604108808,4.116894604108808,4.116894604108808,0.024297624121547106,0.024297624121547106,0.024297624121547106,4.092596979987261,4.092596979987261,4.092596979987261,0.0,0.0,0.0,69.9183951962735
2019-08-04,65.80546284856688,68.66050456292315,71.00371636191053,65.80546284856688,65.80546284856688,4.07484140659863,4.07484140659863,4.07484140659863,-0.0003025967078222175,-0.0003025967078222175,-0.0003025967078222175,4.075144003306453,4.075144003306453,4.075144003306453,0.0,0.0,0.0,69.8803042551655
2019-08-05,65.80942510496907,68.59530575434007,70.8660542876536,65.80942510496907,65.80942510496907,3.9500684766886125,3.9500684766886125,3.9500684766886125,-0.10131879899671292,-0.10131879899671292,-0.10131879899671292,4.051387275685325,4.051387275685325,4.051387275685325,0.0,0.0,0.0,69.75949358165768
2019-08-06,65.81338736137126,68.82151129825296,71.00450088094146,65.81338736137126,65.81338736137126,4.090421617289995,4.090421617289995,4.090421617289995,0.06890768877167065,0.06890768877167065,0.06890768877167065,4.021513928518324,4.021513928518324,4.021513928518324,0.0,0.0,0.0,69.90380897866125
2019-08-08,65.82131187417563,68.54546259553298,70.84765308638528,65.82131187417563,65.82131187417563,3.910304271590056,3.910304271590056,3.910304271590056,-0.03430953537472274,-0.03430953537472274,-0.03430953537472274,3.9446138069647785,3.9446138069647785,3.9446138069647785,0.0,0.0,0.0,69.73161614576568
2019-08-09,65.82527413057782,68.5090848444053,70.77011195453353,65.82527413057782,65.82527413057782,3.852385320867762,3.852385320867762,3.852385320867762,-0.046035939200043265,-0.046035939200043265,-0.046035939200043265,3.8984212600678054,3.8984212600678054,3.8984212600678054,0.0,0.0,0.0,69.67765945144559
2019-08-11,65.8331986433822,68.47545448447396,70.76392197417651,65.8331986433822,65.8331986433822,3.793045725237515,3.793045725237515,3.793045725237515,-0.0003025967076044718,-0.0003025967076044718,-0.0003025967076044718,3.7933483219451194,3.7933483219451194,3.7933483219451194,0.0,0.0,0.0,69.62624436861972
2019-08-18,65.86093443819752,68.10507685591925,70.40457446056965,65.86093443819752,65.86093443819752,3.3752467289171446,3.3752467289171446,3.3752467289171446,-0.00030259670768161445,-0.00030259670768161445,-0.00030259670768161445,3.3755493256248257,3.3755493256248257,3.3755493256248257,0.0,0.0,0.0,69.23618116711467
2019-08-19,65.86489669459972,67.97064342856221,70.24308080130787,65.86489669459972,65.86489669459972,3.220336160237381,3.220336160237381,3.220336160237381,-0.10131879899673045,-0.10131879899673045,-0.10131879899673045,3.321654959234111,3.321654959234111,3.321654959234111,0.0,0.0,0.0,69.0852328548371
2019-08-24,65.88470797661067,67.94701676143454,70.17582322035194,65.88470797661067,65.88470797661067,3.1530147216751394,3.1530147216751394,3.1530147216751394,0.02429762412155142,0.02429762412155142,0.02429762412155142,3.128717097553588,3.128717097553588,3.128717097553588,0.0,0.0,0.0,69.0377226982858
2019-08-25,65.88867023301285,67.93047881980203,70.11695159494185,65.88867023301285,65.88867023301285,3.1089626956108205,3.1089626956108205,3.1089626956108205,-0.00030259670756524004,-0.00030259670756524004,-0.00030259670756524004,3.1092652923183857,3.1092652923183857,3.1092652923183857,0.0,0.0,0.0,68.99763292862366
2019-08-26,65.89263248941504,67.82907220740253,70.02439696375086,65.89263248941504,65.89263248941504,2.9955023342177287,2.9955023342177287,2.9955023342177287,-0.10131879899669173,-0.10131879899669173,-0.10131879899669173,3.0968211332144207,3.0968211332144207,3.0968211332144207,0.0,0.0,0.0,68.88813482363277
2019-08-29,65.9045192586216,67.87734730459039,70.09628590759338,65.9045192586216,65.9045192586216,3.0659195662896876,3.0659195662896876,3.0659195662896876,-0.034309535375104845,-0.034309535375104845,-0.034309535375104845,3.1002291016647927,3.1002291016647927,3.1002291016647927,0.0,0.0,0.0,68.9704388249113
2019-09-05,65.93225505343693,67.96927737269039,70.29785264566871,65.93225505343693,65.93225505343693,3.2372602029781747,3.2372602029781747,3.2372602029781747,-0.0343095353748234,-0.0343095353748234,-0.0343095353748234,3.2715697383529982,3.2715697383529982,3.2715697383529982,0.0,0.0,0.0,69.16951525641511
2019-09-06,65.93621730983911,68.0890337418229,70.35179414435412,65.93621730983911,65.93621730983911,3.2555229891606605,3.2555229891606605,3.2555229891606605,-0.0460359391999758,-0.0460359391999758,-0.0460359391999758,3.3015589283606364,3.3015589283606364,3.3015589283606364,0.0,0.0,0.0,69.19174029899978
2019-09-07,65.9401795662413,68.20865351317067,70.37324312080824,65.9401795662413,65.9401795662413,3.354171140048007,3.354171140048007,3.354171140048007,0.02429762412140857,0.02429762412140857,0.02429762412140857,3.3298735159265984,3.3298735159265984,3.3298735159265984,0.0,0.0,0.0,69.29435070628931
2019-09-08,65.94414182264349,68.13803229229104,70.41797219757427,65.94414182264349,65.94414182264349,3.3552973505117216,3.3552973505117216,3.3552973505117216,-0.00030259670777021676,-0.00030259670777021676,-0.00030259670777021676,3.355599947219492,3.355599947219492,3.355599947219492,0.0,0.0,0.0,69.2994391731552
2019-09-10,65.95206633544788,68.26145334860436,70.55107482032749,65.95206633544788,65.95206633544788,3.465148697913179,3.465148697913179,3.465148697913179,0.0689076887716862,0.0689076887716862,0.0689076887716862,3.3962410091414923,3.3962410091414923,3.3962410091414923,0.0,0.0,0.0,69.41721503336106
2019-09-12,65.95999084825226,68.17043125363519,70.44264191654713,65.95999084825226,65.95999084825226,3.3847069096863174,3.3847069096863174,3.3847069096863174,-0.034309535374950774,-0.034309535374950774,-0.034309535374950774,3.4190164450612683,3.4190164450612683,3.4190164450612683,0.0,0.0,0.0,69.34469775793858
2019-09-13,65.96395310465445,68.176545614463,70.42623597710183,65.96395310465445,65.96395310465445,3.377116327847823,3.377116327847823,3.377116327847823,-0.04603593919987753,-0.04603593919987753,-0.04603593919987753,3.423152267047701,3.423152267047701,3.423152267047701,0.0,0.0,0.0,69.34106943250228
2019-09-14,65.96791536105664,68.2870914428142,70.49505119832912,65.96791536105664,65.96791536105664,3.4469040315033808,3.4469040315033808,3.4469040315033808,0.02429762412141,0.02429762412141,0.02429762412141,3.4226064073819704,3.4226064073819704,3.4226064073819704,0.0,0.0,0.0,69.41481939256002
2019-09-15,65.97187761745883,68.32233944537748,70.53537796563764,65.97187761745883,65.97187761745883,3.4174899230591222,3.4174899230591222,3.4174899230591222,-0.0003025967075524711,-0.0003025967075524711,-0.0003025967075524711,3.417792519766675,3.417792519766675,3.417792519766675,0.0,0.0,0.0,69.38936754051795
2019-09-17,65.9798021302632,68.29230752893667,70.62671224768846,65.9798021302632,65.9798021302632,3.4671280013221555,3.4671280013221555,3.4671280013221555,0.06890768877177936,0.06890768877177936,0.06890768877177936,3.398220312550376,3.398220312550376,3.398220312550376,0.0,0.0,0.0,69.44693013158535
2019-09-18,65.98376438666538,68.42488306822793,70.63283110869469,65.98376438666538,65.98376438666538,3.474231905842307,3.474231905842307,3.474231905842307,0.08876155738625044,0.08876155738625044,0.08876155738625044,3.3854703484560567,3.3854703484560567,3.3854703484560567,0.0,0.0,0.0,69.45799629250769
2019-09-19,65.98772664306757,68.24210206571496,70.44379110331646,65.98772664306757,65.98772664306757,3.3381269371534574,3.3381269371534574,3.3381269371534574,-0.034309535374922484,-0.034309535374922484,-0.034309535374922484,3.372436472528379,3.372436472528379,3.372436472528379,0.0,0.0,0.0,69.32585358022104
